Original_Exercise,Predicted_Exercise,Accuracy
lateral_raise,lateral_raise,0.14
lateral_raise,lateral_raise,0.08
lateral_raise,lateral_raise,0.131
lateral_raise,lateral_raise,0.108
lateral_raise,,0
lateral_raise,lateral_raise,0.005
lateral_raise,,0
lateral_raise,,0
lateral_raise,tricep_extension,0.022
lateral_raise,lateral_raise,0.018
lateral_raise,,0
lateral_raise,,0
lateral_raise,tricep_extension,0.098
lateral_raise,lateral_raise,0.122
lateral_raise,,0
lateral_raise,tricep_extension,0.081
lateral_raise,tricep_extension,0.013
lateral_raise,,0
lateral_raise,lateral_raise,0.157
lateral_raise,lateral_raise,0.103
lateral_raise,lateral_raise,0.088
lateral_raise,lateral_raise,0.134
lateral_raise,lateral_raise,0.277
lateral_raise,,0
lateral_raise,lateral_raise,0.184
lateral_raise,lateral_raise,0.094
lateral_raise,,0
lateral_raise,lateral_raise,0.171
lateral_raise,lateral_raise,0.166
lateral_raise,lateral_raise,0.254
lateral_raise,lateral_raise,0.181
lateral_raise,lateral_raise,0.212
lateral_raise,tricep_extension,0.008
lateral_raise,lateral_raise,0.296
lateral_raise,,0
lateral_raise,lateral_raise,0.054
lateral_raise,lateral_raise,0.09
lateral_raise,,0
lateral_raise,lateral_raise,0.06
lateral_raise,lateral_raise,0.054
lateral_raise,,0
lateral_raise,,0
lateral_raise,lateral_raise,0.184
lateral_raise,bicep_curl,0.087
lateral_raise,,0
lateral_raise,lateral_raise,0.159
lateral_raise,,0
lateral_raise,,0
lateral_raise,lateral_raise,0.056
lateral_raise,lateral_raise,0.054
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,tricep_extension,0.051
lateral_raise,,0
lateral_raise,tricep_extension,0.025
lateral_raise,,0
lateral_raise,,0
lateral_raise,lateral_raise,0.019
lateral_raise,,0
lateral_raise,,0
lateral_raise,lateral_raise,0.066
lateral_raise,,0
lateral_raise,lateral_raise,0.091
lateral_raise,bicep_curl,0.13
lateral_raise,,0
lateral_raise,lateral_raise,0.002
lateral_raise,lateral_raise,0.105
lateral_raise,lateral_raise,0.014
lateral_raise,lateral_raise,0.067
lateral_raise,lateral_raise,0.04
lateral_raise,lateral_raise,0.078
lateral_raise,lateral_raise,0.083
lateral_raise,lateral_raise,0.21
lateral_raise,lateral_raise,0.145
lateral_raise,lateral_raise,0.105
lateral_raise,lateral_raise,0.123
lateral_raise,lateral_raise,0.089
lateral_raise,lateral_raise,0.075
lateral_raise,lateral_raise,0.261
lateral_raise,lateral_raise,0.107
lateral_raise,lateral_raise,0.079
lateral_raise,lateral_raise,0.079
push_ups,lateral_raise,0.042
push_ups,lateral_raise,0.082
push_ups,,0
push_ups,,0
push_ups,lateral_raise,0.121
push_ups,,0
push_ups,lateral_raise,0.029
push_ups,,0
push_ups,lateral_raise,0.056
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,lateral_raise,0.012
push_ups,lateral_raise,0.05
push_ups,lateral_raise,0.18
push_ups,,0
push_ups,lateral_raise,0.03
push_ups,,0
push_ups,lateral_raise,0.08
push_ups,lateral_raise,0.011
push_ups,lateral_raise,0.127
push_ups,,0
push_ups,lateral_raise,0.013
push_ups,lateral_raise,0.187
push_ups,tricep_extension,0.195
push_ups,lateral_raise,0.125
push_ups,,0
push_ups,lateral_raise,0.247
push_ups,lateral_raise,0.127
push_ups,,0
push_ups,lateral_raise,0.234
push_ups,lateral_raise,0.011
push_ups,lateral_raise,0.173
push_ups,,0
push_ups,lateral_raise,0.056
push_ups,,0
push_ups,lateral_raise,0.065
push_ups,lateral_raise,0.257
push_ups,lateral_raise,0.081
push_ups,lateral_raise,0.201
push_ups,lateral_raise,0.036
push_ups,lateral_raise,0.08
push_ups,lateral_raise,0.103
push_ups,lateral_raise,0.315
push_ups,lateral_raise,0.057
push_ups,lateral_raise,0.151
push_ups,lateral_raise,0.08
push_ups,lateral_raise,0.176
push_ups,lateral_raise,0.161
push_ups,lateral_raise,0.087
push_ups,lateral_raise,0.115
push_ups,,0
push_ups,,0
push_ups,lateral_raise,0.008
push_ups,lateral_raise,0.098
push_ups,,0
push_ups,lateral_raise,0.042
push_ups,lateral_raise,0.061
push_ups,lateral_raise,0.041
push_ups,,0
push_ups,lateral_raise,0.066
push_ups,lateral_raise,0.054
push_ups,lateral_raise,0.195
push_ups,lateral_raise,0.181
push_ups,lateral_raise,0.104
push_ups,lateral_raise,0.181
push_ups,lateral_raise,0.116
push_ups,lateral_raise,0.134
push_ups,lateral_raise,0.115
push_ups,lateral_raise,0.059
push_ups,lateral_raise,0.007
push_ups,lateral_raise,0.126
push_ups,,0
push_ups,lateral_raise,0.031
push_ups,lateral_raise,0.117
push_ups,tricep_extension,0.088
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
push_ups,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.052
bicep_curl,,0
bicep_curl,tricep_extension,0.021
bicep_curl,lateral_raise,0.001
bicep_curl,tricep_extension,0.039
bicep_curl,tricep_extension,0.111
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,tricep_extension,0.056
bicep_curl,lateral_raise,0.044
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.125
bicep_curl,,0
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.009
bicep_curl,lateral_raise,0.163
bicep_curl,tricep_extension,0.009
bicep_curl,,0
bicep_curl,tricep_extension,0.088
bicep_curl,tricep_extension,0.133
bicep_curl,push_ups,0.134
bicep_curl,,0
bicep_curl,bicep_curl,0.209
bicep_curl,tricep_extension,0.334
bicep_curl,bicep_curl,0.238
bicep_curl,tricep_extension,0.295
